Country;YearsCodingProf;DevType;Salary;SalaryType;CurrencySymbol
Spain;12-14 years;"Back-end developer;Database administrator;DevOps specialist;Front-end developer;Mobile developer;QA or test developer;System administrator";32000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Data scientist or machine learning specialist;Database administrator;Full-stack developer";18000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Desktop or enterprise applications developer;DevOps specialist;Engineering manager";45000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Desktop or enterprise applications developer";18000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Database administrator;Desktop or enterprise applications developer;DevOps specialist;Embedded applications or devices developer;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer;QA or test developer;System administrator";26500;Yearly;EUR
Spain;3-5 years;Front-end developer;48000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Front-end developer;Full-stack developer";29000;Yearly;EUR
Spain;3-5 years;Front-end developer;26000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Front-end developer;Full-stack developer;Mobile developer;QA or test developer";28000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Front-end developer;Full-stack developer";12500;Yearly;EUR
Spain;9-11 years;"Desktop or enterprise applications developer;Front-end developer;Mobile developer";40000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Front-end developer;Full-stack developer";41000;Yearly;EUR
Spain;9-11 years;Back-end developer;55000;Yearly;EUR
Spain;15-17 years;Back-end developer;27000;Yearly;EUR
Spain;21-23 years;"Back-end developer;Educator or academic researcher;Full-stack developer";40000;Yearly;EUR
Spain;3-5 years;"Front-end developer;Mobile developer";32000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;QA or test developer";20000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Database administrator;Designer;DevOps specialist;System administrator";35000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Database administrator;Front-end developer";14000;Yearly;EUR
Spain;15-17 years;"Back-end developer;Data scientist or machine learning specialist;Desktop or enterprise applications developer;Engineering manager;Front-end developer;Full-stack developer;Mobile developer";45000;Yearly;EUR
Spain;3-5 years;Front-end developer;25000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Data or business analyst;Full-stack developer";27000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Database administrator;Desktop or enterprise applications developer;Engineering manager";26000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Embedded applications or devices developer;Front-end developer;QA or test developer";30000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Front-end developer;Full-stack developer";20000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Data scientist or machine learning specialist;Educator or academic researcher;Product manager";40000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Database administrator;Educator or academic researcher;Front-end developer;Full-stack developer";40000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Database administrator;Front-end developer;Full-stack developer;System administrator";26000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Database administrator";26000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Student";25000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Database administrator;Desktop or enterprise applications developer;Front-end developer;Full-stack developer";24000;Yearly;EUR
Spain;3-5 years;Back-end developer;24000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Front-end developer;Full-stack developer";39000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Engineering manager";62000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Front-end developer;Full-stack developer";28000;Yearly;EUR
Spain;0-2 years;Back-end developer;22000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer";20000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Student";15000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Front-end developer;Full-stack developer";28500;Yearly;EUR
Spain;12-14 years;"Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;Engineering manager;Front-end developer;Full-stack developer";30000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Mobile developer";40000;Yearly;EUR
Spain;12-14 years;"Back-end developer;Desktop or enterprise applications developer;Full-stack developer";30000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Desktop or enterprise applications developer;Embedded applications or devices developer;Front-end developer;Full-stack developer";44000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Front-end developer;Full-stack developer;Mobile developer";26000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Product manager;QA or test developer";40000;Yearly;EUR
Spain;15-17 years;"Back-end developer;Data or business analyst;Front-end developer;Full-stack developer;System administrator";37000;Yearly;EUR
Spain;3-5 years;Front-end developer;23500;Yearly;EUR
Spain;9-11 years;"Back-end developer;Database administrator;DevOps specialist;Front-end developer;Full-stack developer;System administrator";22000;Yearly;EUR
Spain;6-8 years;"Back-end developer;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;System administrator";55000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Front-end developer;Full-stack developer;Mobile developer;System administrator";18000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Front-end developer;Full-stack developer";47000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Engineering manager";53000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Front-end developer;Full-stack developer";22000;Yearly;EUR
Spain;3-5 years;"Back-end developer;DevOps specialist;Full-stack developer";23200;Yearly;EUR
Spain;0-2 years;"Back-end developer;Front-end developer;Full-stack developer;QA or test developer";22600;Yearly;EUR
Spain;18-20 years;"Back-end developer;Designer;Front-end developer;Full-stack developer;Mobile developer";43500;Yearly;EUR
Spain;3-5 years;"Back-end developer;Desktop or enterprise applications developer;Full-stack developer";26000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;QA or test developer";15000;Yearly;EUR
Spain;6-8 years;"Engineering manager;Front-end developer;Full-stack developer";36000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Desktop or enterprise applications developer";36000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Database administrator;Desktop or enterprise applications developer";31000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Front-end developer;Full-stack developer";33000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Data scientist or machine learning specialist;Database administrator";32000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Embedded applications or devices developer;Front-end developer";13000;Yearly;EUR
Spain;3-5 years;"Back-end developer;Database administrator;Front-end developer;Full-stack developer;Mobile developer;Student";29000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Database administrator;Desktop or enterprise applications developer;Front-end developer;Full-stack developer";30000;Yearly;EUR
Spain;9-11 years;Back-end developer;35000;Yearly;EUR
Spain;3-5 years;"Data or business analyst;Data scientist or machine learning specialist;Front-end developer";22000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Data scientist or machine learning specialist";33000;Yearly;EUR
Spain;21-23 years;"Back-end developer;Data or business analyst";50000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Mobile developer";18000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Front-end developer;Full-stack developer;Student";29000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Front-end developer";23000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Designer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer";23750;Yearly;EUR
Spain;12-14 years;"Back-end developer;Full-stack developer";41000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Data or business analyst;Front-end developer;Full-stack developer;Mobile developer";20000;Yearly;EUR
Spain;12-14 years;"Back-end developer;Front-end developer;QA or test developer";25000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Desktop or enterprise applications developer;Full-stack developer";33000;Yearly;EUR
Spain;3-5 years;Back-end developer;36000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Front-end developer;Full-stack developer";16000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Data or business analyst";42000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Front-end developer;Full-stack developer";39000;Yearly;EUR
Spain;9-11 years;"Back-end developer;Desktop or enterprise applications developer;Front-end developer;Full-stack developer;Game or graphics developer;Mobile developer";35000;Yearly;EUR
Spain;0-2 years;"Back-end developer;Front-end developer;Full-stack developer";24000;Yearly;EUR
Spain;6-8 years;"Back-end developer;Engineering manager";50000;Yearly;EUR
Spain;15-17 years;"Back-end developer;Front-end developer;Full-stack developer";20000;Yearly;EUR
Spain;6-8 years;Back-end developer;33000;Yearly;EUR
Spain;12-14 years;"Back-end developer;Database administrator;Designer;Desktop or enterprise applications developer;DevOps specialist;Engineering manager;Front-end developer;Full-stack developer;Marketing or sales professional;Mobile developer;Product manager;QA or test developer;System administrator";30000;Yearly;EUR
Spain;6-8 years;Back-end developer;35000;Yearly;EUR
Spain;9-11 years;Front-end developer;34000;Yearly;EUR
